"County  ","Block Group   ","Receptor","X / Y [m]           ","COPC Name                                 ","CAS Number","Inhalation Risk Cancer Risk Resident Adult","Inhalation Risk Hazard Index Resident Adult"
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Trimethylbenzene 1,2,4-                   ","95-63-6   ","0.00E+00                                  ","2.19E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Chlorine                                  ","7782-50-5 ","0.00E+00                                  ","7.11E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Chlorobenzene                             ","108-90-7  ","0.00E+00                                  ","2.13E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Chloroform (Trichloromethane)             ","67-66-3   ","2.78E-06                                  ","8.04E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methylcholanthrene 3-                     ","56-49-5   ","7.56E-10                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Chromium, Hexavalent                      ","18540-29-9","6.31E-07                                  ","1.52E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Chrysene                                  ","218-01-9  ","7.12E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Cumene (Isopropylbenzene)                 ","98-82-8   ","0.00E+00                                  ","1.04E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Cyanide                                   ","57-12-5   ","0.00E+00                                  ","3.93E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methylenediphenyl Diisocyanate 4,4-       ","101-68-8  ","0.00E+00                                  ","5.99E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dichlorobenzenes                          ","25321-22-6","1.59E-06                                  ","3.26E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Diethanolamine                            ","111-42-2  ","0.00E+00                                  ","1.37E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methyl Chrysene 5-                        ","3697-24-3 ","5.92E-11                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dimethylbenz(a)Anthracene                 ","57-97-6   ","2.71E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dimethylformamide N,N                     ","68-12-2   ","0.00E+00                                  ","1.34E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dibenzo(a,h)Anthracene                    ","53-70-3   ","2.50E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Acetamide                                 ","60-35-5   ","4.13E-12                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dichloroethane, 1,2- (Ethylene Dichloride)","107-06-2  ","1.10E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dichloropropane, 1,2-                     ","78-87-5   ","0.00E+00                                  ","9.49E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dichloropropene, 1,3-                     ","542-75-6  ","1.12E-06                                  ","3.25E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dinitrotoluene, 2,4-                      ","121-14-2  ","1.65E-12                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dioxane, 1,4-                             ","123-91-1  ","1.32E-09                                  ","7.79E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Acrylic Acid                              ","79-10-7   ","0.00E+00                                  ","4.68E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Ethylene Glycol                           ","107-21-1  ","0.00E+00                                  ","2.18E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Aldehydes, Unspeciated                    ","E761379   ","1.05E-07                                  ","5.23E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Ethylbenzene                              ","100-41-4  ","1.01E-06                                  ","7.20E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Ethylene Dibromide                        ","106-93-4  ","9.24E-08                                  ","6.91E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Butadiene 1,3-                            ","106-99-0  ","6.15E-06                                  ","1.22E-01                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Ethylene Oxide                            ","75-21-8   ","4.43E-06                                  ","3.72E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Ethylhexyl Phthalate, Bis-2-   (DEHP)     ","117-81-7  ","1.13E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Fluoranthene                              ","206-44-0  ","2.74E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Formaldehyde                              ","50-00-0   ","2.28E-06                                  ","1.18E-01                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Glycol Ethers, Unspeciated                ","E651141   ","0.00E+00                                  ","2.15E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Hexamethylene 1,6 Diisocyante             ","822-06-0  ","0.00E+00                                  ","1.87E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Ammonia                                   ","7664-41-7 ","0.00E+00                                  ","6.06E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Hydrogen Fluoride                         ","7664-39-3 ","0.00E+00                                  ","2.15E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HeptaCDD, 1,2,3,4,6,7,8-                  ","35822-46-9","4.69E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HeptaCDF, 1,2,3,4,6,7,8-                  ","67562-39-4","7.22E-09                                  ","3.30E-07                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HeptaCDF, 1,2,3,4,7,8,9-                  ","55673-89-7","1.02E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HexaCDD, 1,2,3,4,7,8-                     ","39227-28-6","8.01E-09                                  ","3.52E-07                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HexaCDD, 1,2,3,6,7,8-                     ","57653-85-7","9.23E-09                                  ","4.07E-07                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HexaCDD, 1,2,3,7,8,9-                     ","19408-74-3","2.11E-08                                  ","1.32E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HexaCDF, 1,2,3,4,7,8-                     ","70648-26-9","2.41E-08                                  ","1.51E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HexaCDF, 1,2,3,6,7,8-                     ","57117-44-9","2.56E-08                                  ","1.62E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HexaCDF, 1,2,3,7,8,9-                     ","72918-21-9","1.15E-08                                  ","7.20E-07                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","HexaCDF, 2,3,4,6,7,8-                     ","60851-34-5","1.33E-08                                  ","8.29E-07                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Hydrogen Chloride                         ","7647-01-0 ","0.00E+00                                  ","3.24E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Indeno(1,2,3-cd) Pyrene                   ","193-39-5  ","4.23E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Lead                                      ","7439-92-1 ","5.28E-09                                  ","6.74E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Manganese                                 ","7439-96-5 ","0.00E+00                                  ","1.46E-01                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Acetaldehyde                              ","75-07-0   ","7.60E-07                                  ","8.95E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methyl Hydrazine                          ","60-34-4   ","1.35E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methyl Tert Butyl Ether                   ","1634-04-4 ","3.63E-12                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Mercury                                   ","7439-97-6 ","0.00E+00                                  ","4.22E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methanol                                  ","67-56-1   ","0.00E+00                                  ","1.39E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methyl Bromide (Bromomethane)             ","74-83-9   ","0.00E+00                                  ","1.81E-01                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methyl Chloride (Chloromethane)           ","74-87-3   ","0.00E+00                                  ","1.79E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methyl Ethyl Ketone (2-Butanone)          ","78-93-3   ","0.00E+00                                  ","7.91E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methyl Isobutyl Ketone                    ","108-10-1  ","0.00E+00                                  ","1.11E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Methylene Chloride                        ","75-09-2   ","2.12E-08                                  ","1.06E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","NHexane                                   ","110-54-3  ","0.00E+00                                  ","1.85E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Naphthalene                               ","91-20-3   ","4.76E-06                                  ","3.62E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Nickel                                    ","7440-02-0 ","3.12E-07                                  ","1.08E-01                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Diethylene Glycol Butyl Ether             ","112-34-5  ","0.00E+00                                  ","1.47E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Acrolein                                  ","107-02-8  ","0.00E+00                                  ","3.82E-01                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","OctaCDD, 1,2,3,4,6,7,8,9-                 ","3268-87-9 ","6.13E-08                                  ","4.81E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","OctaCDF, 1,2,3,4,6,7,8,9-                 ","39001-02-0","8.26E-11                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Acrylonitrile                             ","107-13-1  ","6.91E-11                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","PM2.5 Diesel                              ","MDPM25    ","2.73E-04                                  ","4.25E-01                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Propylene Oxide                           ","75-56-9   ","3.50E-13                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","PentaCDD, 1,2,3,7,8-                      ","40321-76-4","5.78E-08                                  ","4.37E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","PentaCDF, 1,2,3,7,8-                      ","57117-41-6","1.55E-08                                  ","1.11E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","PentaCDF, 2,3,4,7,8-                      ","57117-31-4","7.57E-08                                  ","9.39E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Pentachloronitrobenzene (PCNB)            ","82-68-8   ","3.80E-13                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Pentachlorophenol                         ","87-86-5   ","2.00E-12                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Phenol                                    ","108-95-2  ","0.00E+00                                  ","5.18E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Anthracene                                ","120-12-7  ","7.88E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Antimony                                  ","7440-36-0 ","0.00E+00                                  ","7.66E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Selenium                                  ","7782-49-2 ","0.00E+00                                  ","8.96E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Styrene                                   ","100-42-5  ","0.00E+00                                  ","4.82E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Triethylamine                             ","121-44-8  ","0.00E+00                                  ","1.11E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Trimethylbenzenes, Unspeciated            ","25551-13-7","0.00E+00                                  ","2.03E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","TetraCDD, 2,3,7,8-                        ","1746-01-6 ","3.71E-08                                  ","2.42E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","TetraCDF, 2,3,7,8-                        ","51207-31-9","3.04E-08                                  ","2.26E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Tetrachloroethylene (Perchloroethylene)   ","127-18-4  ","1.48E-07                                  ","5.21E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Toluene                                   ","108-88-3  ","0.00E+00                                  ","3.60E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Trichloroethane, 1,1,1-                   ","71-55-6   ","0.00E+00                                  ","1.70E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Arsenic                                   ","7440-38-2 ","1.10E-06                                  ","3.94E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Trichloroethylene                         ","79-01-6   ","2.41E-09                                  ","6.93E-04                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Trichlorophenol, 2,4,6-                   ","88-06-2   ","3.17E-13                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Vinyl Chloride                            ","75-01-4   ","1.18E-09                                  ","1.00E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Xylenes (Mixed Isomers)                   ","1330-20-7 ","0.00E+00                                  ","4.40E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Pentachlorobiphenyls, Unspeciated         ","25429-29-2","3.52E-08                                  ","3.15E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Tetrachlorobiphenyls, Unspeciated         ","26914-33-0","1.66E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Trichlorobiphenyl 2,4,4'-                 ","7012-37-5 ","1.04E-11                                  ","7.50E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Monochlorobiphenyl 2-                     ","2051-60-7 ","9.27E-14                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzo(a)Fluoranthene                      ","203-33-8  ","1.57E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzo(G,H,I)Perylene                      ","191-24-2  ","1.04E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Dichlorobiphenyl 4,4'-                    ","2050-68-2 ","5.03E-14                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzofluoranthenes, Unspeciated           ","56832-73-6","7.52E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzene                                   ","71-43-2   ","5.57E-06                                  ","5.55E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzo(a)Anthracene                        ","56-55-3   ","2.16E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzo(a)Pyrene                            ","50-32-8   ","7.97E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzo(b)Fluoranthene                      ","205-99-2  ","3.74E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzo(k)Fluoranthene                      ","207-08-9  ","1.19E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Benzyl chloride                           ","100-44-7  ","2.92E-09                                  ","9.06E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Beryllium                                 ","7440-41-7 ","2.63E-08                                  ","1.16E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Bromoform (Tribromomethane)               ","75-25-2   ","2.89E-12                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Chloroacetophenone 2-                     ","532-27-4  ","0.00E+00                                  ","2.86E-05                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Cobalt                                    ","7440-48-4 ","6.71E-07                                  ","2.89E-02                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Cresol Mixed Isomers                      ","1319-77-3 ","0.00E+00                                  ","9.98E-06                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Cadmium                                   ","7440-43-9 ","1.49E-07                                  ","9.58E-03                                   "
"Hennepin","27-053-1054001","23782   ","479000.2 / 4979800.0","Carbon Tetrachloride                      ","56-23-5   ","2.06E-09                                  ","2.56E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Trimethylbenzene 1,2,4-                   ","95-63-6   ","0.00E+00                                  ","2.25E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Chlorine                                  ","7782-50-5 ","0.00E+00                                  ","7.01E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Chlorobenzene                             ","108-90-7  ","0.00E+00                                  ","2.13E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Chloroform (Trichloromethane)             ","67-66-3   ","2.79E-06                                  ","8.06E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methylcholanthrene 3-                     ","56-49-5   ","7.46E-10                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Chromium, Hexavalent                      ","18540-29-9","6.21E-07                                  ","1.50E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Chrysene                                  ","218-01-9  ","7.11E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Cumene (Isopropylbenzene)                 ","98-82-8   ","0.00E+00                                  ","8.96E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Cyanide                                   ","57-12-5   ","0.00E+00                                  ","3.96E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methylenediphenyl Diisocyanate 4,4-       ","101-68-8  ","0.00E+00                                  ","4.95E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dichlorobenzenes                          ","25321-22-6","1.60E-06                                  ","3.26E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Diethanolamine                            ","111-42-2  ","0.00E+00                                  ","1.40E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methyl Chrysene 5-                        ","3697-24-3 ","5.84E-11                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dimethylbenz(a)Anthracene                 ","57-97-6   ","2.73E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dimethylformamide N,N                     ","68-12-2   ","0.00E+00                                  ","1.52E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dibenzo(a,h)Anthracene                    ","53-70-3   ","2.50E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Acetamide                                 ","60-35-5   ","4.15E-12                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dichloroethane, 1,2- (Ethylene Dichloride)","107-06-2  ","1.11E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dichloropropane, 1,2-                     ","78-87-5   ","0.00E+00                                  ","9.48E-05                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dichloropropene, 1,3-                     ","542-75-6  ","1.12E-06                                  ","3.27E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dinitrotoluene, 2,4-                      ","121-14-2  ","1.64E-12                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Dioxane, 1,4-                             ","123-91-1  ","1.32E-09                                  ","7.85E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Acrylic Acid                              ","79-10-7   ","0.00E+00                                  ","4.52E-05                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Ethylene Glycol                           ","107-21-1  ","0.00E+00                                  ","2.19E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Aldehydes, Unspeciated                    ","E761379   ","1.04E-07                                  ","5.19E-03                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Ethylbenzene                              ","100-41-4  ","9.99E-07                                  ","7.10E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Ethylene Dibromide                        ","106-93-4  ","9.12E-08                                  ","6.74E-05                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Butadiene 1,3-                            ","106-99-0  ","6.07E-06                                  ","1.20E-01                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Ethylene Oxide                            ","75-21-8   ","4.59E-06                                  ","3.86E-03                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Ethylhexyl Phthalate, Bis-2-   (DEHP)     ","117-81-7  ","1.11E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Fluoranthene                              ","206-44-0  ","2.72E-07                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Formaldehyde                              ","50-00-0   ","2.26E-06                                  ","1.17E-01                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Glycol Ethers, Unspeciated                ","E651141   ","0.00E+00                                  ","2.14E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Hexamethylene 1,6 Diisocyante             ","822-06-0  ","0.00E+00                                  ","1.86E-05                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Ammonia                                   ","7664-41-7 ","0.00E+00                                  ","6.07E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Hydrogen Fluoride                         ","7664-39-3 ","0.00E+00                                  ","2.11E-03                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HeptaCDD, 1,2,3,4,6,7,8-                  ","35822-46-9","4.62E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HeptaCDF, 1,2,3,4,6,7,8-                  ","67562-39-4","7.13E-09                                  ","3.75E-07                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HeptaCDF, 1,2,3,4,7,8,9-                  ","55673-89-7","1.01E-09                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HexaCDD, 1,2,3,4,7,8-                     ","39227-28-6","7.92E-09                                  ","4.00E-07                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HexaCDD, 1,2,3,6,7,8-                     ","57653-85-7","9.11E-09                                  ","4.62E-07                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HexaCDD, 1,2,3,7,8,9-                     ","19408-74-3","2.08E-08                                  ","1.08E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HexaCDF, 1,2,3,4,7,8-                     ","70648-26-9","2.38E-08                                  ","1.23E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HexaCDF, 1,2,3,6,7,8-                     ","57117-44-9","2.53E-08                                  ","1.32E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HexaCDF, 1,2,3,7,8,9-                     ","72918-21-9","1.14E-08                                  ","5.88E-07                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","HexaCDF, 2,3,4,6,7,8-                     ","60851-34-5","1.31E-08                                  ","6.77E-07                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Hydrogen Chloride                         ","7647-01-0 ","0.00E+00                                  ","3.20E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Indeno(1,2,3-cd) Pyrene                   ","193-39-5  ","4.18E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Lead                                      ","7439-92-1 ","5.20E-09                                  ","6.64E-03                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Manganese                                 ","7439-96-5 ","0.00E+00                                  ","1.44E-01                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Acetaldehyde                              ","75-07-0   ","7.52E-07                                  ","8.86E-02                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methyl Hydrazine                          ","60-34-4   ","1.32E-08                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methyl Tert Butyl Ether                   ","1634-04-4 ","3.64E-12                                  ","0.00E+00                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Mercury                                   ","7439-97-6 ","0.00E+00                                  ","4.35E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methanol                                  ","67-56-1   ","0.00E+00                                  ","1.37E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methyl Bromide (Bromomethane)             ","74-83-9   ","0.00E+00                                  ","1.82E-01                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methyl Chloride (Chloromethane)           ","74-87-3   ","0.00E+00                                  ","2.04E-06                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methyl Ethyl Ketone (2-Butanone)          ","78-93-3   ","0.00E+00                                  ","7.86E-05                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methyl Isobutyl Ketone                    ","108-10-1  ","0.00E+00                                  ","1.08E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","Methylene Chloride                        ","75-09-2   ","2.13E-08                                  ","1.06E-04                                   "
"Hennepin","27-053-1054001","23821   ","479299.9 / 4979800.2","NHexane                                   ","110-54-3  ","0.00E+00                                  ","1.82E-03                                   "
